Question,label
Find the largest integer m for which the system below has a unique solution:  \[ \left\{\begin{array}{l} \frac{u}{m-\tan(θ)-4}=5 \\ u=\frac{\tan(θ)+8}{\tan(θ)+2} \end{array}\right. \],0
Let S(n) be the sum of the proper divisors of n (numbers less than n which divide evenly into n). A number n is called perfect if S(n) = n. Determine the number of perfect numbers less than 10^8.,4
A fair six-sided die is rolled repeatedly until the sum of all rolls is greater than or equal to 20. What is the probability that the last roll is a 6? Give your answer as a decimal rounded to four places.,5
"Determine the limit of the function f(x,y) = (x^2 * cos(y/x) + y^2 * cos(x/y)) / (x^2 + y^2) as (x,y) approaches (0,0). If the limit doesn't exist, explain why.",2
Consider a group G with the discrete topology and H a subgroup of G. Show that H is both open and closed in G.,7
"Determine the point of inflection for the curve $y = x^3 - 12x^2 + 48x - 64$ and express it as an ordered pair $(x, y)$.",2
"Given a topological group G and a normal subgroup H, show that the quotient map π: G → G/H is an open mapping.",7
"Let G be a group and H a normal subgroup of G. If G/H is cyclic, prove that every element of G/H can be expressed as aH for some a in G that commutes with every element of H.",7
"Let M be an n×n matrix where n is odd and n≥3. The entry in the i-th row and j-th column is given by sin((i+j)π/n). Calculate the determinant of 2I-M, where I is the n×n identity matrix.",6
"Calculate the volume of the solid formed by rotating the region bounded by y = x^2, y = 4, and the y-axis about the x-axis.",2
Consider the expression a = (log₂3 + log₃4 + log₄5 + log₅6)/(log₂3 - log₃4 - log₄5 - log₅6). Compute a⁹⁶.,0
"Determine the volume of the solid obtained by revolving the region bounded by y = sin(x), y = 0, x = 0, and x = π around the y-axis.",2
"In a game show, contestants spin a wheel numbered from 1 to 100. Let g(x) be the ceiling function that rounds x up to the nearest integer. If g(log₃(spin result)) is prime, the contestant wins. What's the expected value of spins needed to win?",3
Determine whether the polynomial $x^3 + 2x + 2$ is reducible or irreducible over the field $\mathbb{F}_5$.,7
"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. Marbles are drawn one at a time without replacement until all marbles of one color are gone. What is the expected number of draws needed?",3
"Find the maximum value of the function $\cos(x^2 - 3x) + \sin(\sqrt{x^2 + 2x - 1})$ on the interval [0, 2π].",2
"In a game show, contestants spin a wheel with 20 equal sectors. The wheel has 8 blue sectors, 6 red sectors, 4 green sectors, and 2 yellow sectors. The contestant wins if they spin either blue or green. If a contestant is allowed to spin the wheel twice and keep the better result, what is the probability they will win? Give your answer as a simplified fraction.",3
"A 6-sided die is rolled repeatedly. What is the probability, expressed as a decimal rounded to 4 places, that the product of the first roll that produces an even number and the first roll that produces an odd number equals 21?",5
Let k(x) be the number of distinct prime factors of the positive integer x. A fair die is rolled twice and the product of the two rolls is calculated. What's the probability that k of this product equals 2?,3
"A cylindrical water tank with radius r and height h is tilted at an angle θ from the vertical. Derive an expression for the volume of water remaining in the tank as a function of r, h, and θ, assuming the water level is parallel to the ground.",1
"Given a 4 × 4 matrix B where b_ij = i^j for all entries, calculate the trace of B^-1 (the inverse of B).",6
"A spherical hot air balloon is expanding as it's being inflated. At time t seconds, its radius is growing at a rate of 2/√t meters per second. How fast is the volume of the balloon changing when its radius is 10 meters?",2
"Let f(x,y) = (x^2*y - xy^2)/(x^2 + y^2) when (x,y) ≠ (0,0), and f(0,0) = 0. Is f differentiable at (0,0)? Prove your answer.",2
"A quantum state |ψ⟩ is represented by the vector (1/√3, i/√3, 1/√3). Find the probability of measuring the state in the basis vector |ϕ⟩ = (cos θ, sin θ, 0). Express your answer in terms of θ and simplify as much as possible.",6
Consider a 10x10 chessboard where each square is randomly colored either black or white with equal probability. What is the probability that there exists at least one 3x3 subgrid that is entirely one color? Give your answer as a decimal rounded to 6 decimal places.,5
"A continuous random variable X follows a uniform distribution over the interval [0, 8]. The probability that [X^2] is odd, where [x] denotes the floor function (greatest integer not exceeding x), is equal to ____. Express your answer as a decimal rounded to three places.",3
"Consider all integers from 1 to 1000 inclusive. What percentage of these numbers, rounded to the nearest whole percent, have a prime factor greater than 20?",5
"Triangle ABC is inscribed in a circle with diameter 10 units. If angle B is 30°, determine the length of side AC.",1
"In a game show, contestants spin a wheel numbered from 1 to 100. If the result is a prime number, it's called a ""prime spin"". What's the probability that among 5 independent spins, exactly 3 are ""prime spins""? Give your answer as a percentage rounded to the nearest whole number.",3
"Define z(x,y) = exp(-1/(x^2+y^2)) for (x,y) ≠ (0,0), and z(0,0) = 0. Determine if z is differentiable at (0,0).",2
"Let M be an m × m matrix where the element in the i-th row and j-th column is given by (i^j + j^i) mod p, where p is a prime number. Find an expression for the rank of M in terms of m and p.",6
"Let R be the ring of continuous functions from ℝ to ℂ. Demonstrate that the set of all functions f in R such that f(0) is a real number forms a subring of R, but not an ideal of R.",7
Calculate the sum of all integer values of r for which the system has no complex solutions:  \[ \left\{\begin{array}{l} \frac{m}{r-\sinh(b)-5}=6 \\ m=\frac{\sinh(b)+13}{\sinh(b)+3} \end{array}\right. \],0
"In a laboratory, a scientist conducts a series of experiments where each subsequent experiment depends on the success of the previous one. If the probability of success for each individual experiment is 0.8, what is the probability that the scientist will successfully complete exactly 5 experiments before encountering the first failure?",5
"A regular tetrahedron ABCD has edge length a. Point E is the centroid of face BCD. Calculate the ratio of the volume of tetrahedron ABCE to the volume of the original tetrahedron ABCD. If the surface area of ABCD is 36√3 square units, find the exact value of a.",1
A stock's daily returns R are normally distributed with mean μ and variance σ^2. Let S be the stock price today and Z = ln(S/S_0) where S_0 is the initial price. Derive the probability density function of Q = e^(Z^2).,3
A 6-sided die has numbers 1 through 6 on its faces. You roll it repeatedly and stop when the sum of your rolls exceeds 20. What's the expected number of rolls needed to stop? Give your answer to two decimal places.,5
"Evaluate the improper double integral of f(x,y) = 1 / (x^2 + y^2)^(3/2) over the region outside the unit circle in the xy-plane.",2
"A cylindrical water tank is being filled at a rate such that at time t hours, its volume is πt³ cubic meters. At what rate is the water level rising when the tank contains 216π cubic meters of water?",2
A deck of 52 cards contains 13 cards of each suit. How many ways are there to select 5 cards such that the product of the number of cards from each suit is exactly 120?,5
"A random variable X follows a continuous uniform distribution over the interval [0, 16]. Define Y = [log₃(X)], where [x] denotes the floor function. Calculate P(Y is odd).",3
"A deck of 52 cards contains 13 cards of each suit (hearts, diamonds, clubs, spades). Cards are drawn one at a time without replacement until either all four aces or all four kings are drawn. What is the probability that all four aces are drawn before all four kings?",3
Consider a square matrix A of size n×n where each element a_ij is defined as the absolute difference between i and j. Calculate the determinant of A for n=4.,6
"The temperature T (in °C) of a cup of coffee cooling in a room is given by T = 20 + 80e^(-0.1t), where t is the time in minutes since the coffee was poured. What is the rate of cooling, in °C per minute, after 15 minutes?",2
"Consider the ring of continuous functions f: [0,1] → R. Demonstrate that the set of functions that vanish at a fixed point x₀ ∈ [0,1] forms a maximal ideal in this ring.",7
"A deck of 52 cards contains 13 cards of each suit (hearts, diamonds, clubs, spades). Cards are drawn one at a time without replacement. If a card matches the suit of the previously drawn card, both cards are removed from play. The game ends when a player holds 4 cards of different suits or when the deck is exhausted. What's the probability that all cards will be drawn before the game ends?",3
Find the sum of all prime numbers p less than 100 for which $2^p - 1$ is also prime.,4
A six-sided die is rolled 4 times. What is the probability of rolling exactly two 6's? Express your answer as a percentage rounded to the nearest whole number.,3
"Two planes in 3D space are defined by equations 2x + 3y - z = 8 and ax + by + cz = d, where a, b, c, and d are integers. If these planes are parallel, how many distinct integer quadruples (a, b, c, d) exist such that max(|a|, |b|, |c|, |d|) ≤ 10?",6
"A cryptographer has 22 unique encryption keys labeled A through V. They need to distribute these keys among 4 servers, with each server receiving at least one key. If no server can have two keys that are alphabetically adjacent, in how many ways can the keys be allocated?",5
"A city-wide chess tournament follows a single-elimination format. If 128 players participate and each match eliminates one player, how many total matches are played before crowning the champion?",5
"In a survey of 1000 people, each person is asked to think of a random letter of the alphabet. Let Y be the number of people who think of a vowel (A, E, I, O, or U). Assuming each letter is equally likely to be chosen, what is P(480 ≤ Y ≤ 520)?",3
"Three cards are drawn from a special deck. The values on these cards, denoted by p, q, and r, fulfill the following equations: p = √(q² - 1/196) + √(r² - 1/196) q = √(r² - 1/225) + √(p² - 1/225) r = √(p² - 1/256) + √(q² - 1/256) Given that p + q + r = α/√β, where α and β are positive integers with no common factors and β is not divisible by the square of any prime number, compute α + β.",0
"In a 3D coordinate system, vectors u = (2, -1, 3) and v = (x, 2, y) are perpendicular. How many integer solutions (x, y) exist such that the magnitude of v is 13?",6
"A sequence is defined by an = √(k/n) for positive integer n, where k is a positive integer constant. If the sum of the first three terms of this sequence is always an integer, what is the smallest possible value of k?",4
A continuous random variable Z follows the Cauchy distribution with probability density function f(z) = 1 / (π(1 + z^2)). Determine the probability density function of W = e^Z.,3
"Consider the ring $R = \mathbb{Z}[\sqrt{-5}]$. Demonstrate that $2$ and $3$ are irreducible elements in $R$, but their product $6$ is not prime in $R$.",7
"In a psychological experiment, reaction times are modeled by an exponential distribution with mean μ. If Y represents the sum of two independent reaction times from this distribution, find the probability density function of Y.",3
A social media platform tracks user engagement through a series of pop-up surveys. Each survey has a 40% chance of being answered. The platform continues to show surveys until either 5 are answered or 3 are ignored in a row. What percentage of users will answer exactly 4 surveys before the process ends?,3
A fair six-sided die is rolled repeatedly. The probability that the first occurrence of an even number is on the 5th roll can be expressed as _____.,3
"Given matrices A = [1, 2; 3, 4] and B = [a, b; c, d], find the values of a, b, c, and d such that AB = BA and det(B) = 5.",6
Determine whether the polynomial f(x) = x^3 + 2x + 1 is reducible or irreducible over the finite field F_5.,7
"In an isosceles trapezoid, the parallel sides measure 8 cm and 20 cm, while the non-parallel sides are each 13 cm long. What is the area of this trapezoid?",1
"Consider a 12x12 grid of squares. A ""zigzag path"" starts at the bottom-left corner and ends at the top-right corner, moving only right or up, and alternating between these directions with each step. How many such zigzag paths exist that touch exactly 7 squares on the main diagonal of the grid?",5
"In a card game, players are dealt 5 cards from a standard 52-card deck. What's the probability of being dealt a hand containing exactly three hearts and two spades? Give your answer as a simplified fraction.",5
"Let f: X → Y be a continuous surjective function between topological spaces. If X is compact and Y is Hausdorff, prove that f is a closed mapping (i.e., the image of any closed set in X is closed in Y).",7
Suppose x and y are positive integers such that √(7/x) - √(2/y) is a positive integer. What is the maximum possible value of x + y?,4
A spacecraft is descending towards a planet's surface. Its altitude h (in kilometers) at time t (in minutes) is given by h = 1000 - 5t^2. What is the spacecraft's velocity when it reaches an altitude of 640 km?,2
What is the sum of all two-digit numbers that leave a remainder of 3 when divided by 7?,4
A data scientist models daily stock returns using a Laplace distribution with location parameter μ and scale parameter b. What is the cumulative distribution function for the absolute value of these returns?,3
"A secret code consists of six lowercase letters. If the code is rearranged to be in alphabetical order, it always moves down three positions in a list of all possible codes. What is the third letter of the original code?",5
Consider a compact Hausdorff space X and a continuous surjective function f: X → Y. Show that Y is also compact.,7
Calculate the smallest positive real number f that ensures the system below has exactly one solution:  \[ \left\{\begin{array}{l} \frac{r}{f-\sinh(q)-2}=3 \\ r=\frac{\sinh(q)+6}{\sinh(q)+2} \end{array}\right. \],0
"In a deck of 52 playing cards, you remove all the face cards (Jack, Queen, King) of hearts and spades. If you draw cards one by one without replacement, what's the probability of drawing the Ace of diamonds before drawing any red card?",3
Consider the ring R = Z[√-5]. Show that R is not a unique factorization domain by finding two distinct factorizations of the element 6 in R.,7
"For a real number $\alpha$, consider the $n \times n$ matrix $A$ with entries $a_{ij} = e^{\alpha(i-j)}$. Determine the value of $\alpha$ for which $\det(A) = 1$, assuming $n$ is odd.",6
"Find the minimum value of the function f(x,y,z) = (x-y)^2 + (y-z)^2 + (z-x)^2, where x, y, and z are real numbers in the interval [0,1].",2
Demonstrate that the fundamental group of the Klein bottle is not abelian.,7
"Consider a continuous function f: X → Y between topological spaces. If A is a connected subset of X, show that f(A) is connected in Y.",7
"Let vectors u = (2, -1, 3) and v = (cos(θ), sin(θ), 1) where θ is an angle. Given that |u| = √14 and |v| = √3, find the maximum and minimum possible values of the dot product u · v.",6
Consider a 4 × 4 matrix A where each element a_ij is the result of rolling two fair 6-sided dice and taking the absolute difference between the rolls. Calculate the expected value of det(A).,6
"In a social network with n users, the adjacency matrix A is defined such that A[i,j] = 1 if users i and j are friends, and 0 otherwise. If the friendship is always mutual and users aren't friends with themselves, prove that A^k [i,j] represents the number of paths of length k between users i and j.",6
"In a quantum circuit, a unitary operation U is represented by a 2^n × 2^n matrix where each element U[i,j] = e^(2πi*φ[i,j]), and φ[i,j] are real numbers. What is the trace of U^†U in terms of n?",6
"Let R be an n × n matrix where r_ij = (i + j) mod n, for 1 ≤ i, j ≤ n. For n = 6, find the nullity of matrix R.",6
"A deck of 52 cards contains 13 cards of each suit (hearts, diamonds, clubs, spades). Cards are drawn one at a time without replacement. If a pair of cards with the same numerical value (e.g., two 7s) is drawn, both cards are removed from play. The game continues until either three cards of different suits and values are held, or the deck is exhausted. Calculate the probability that all cards will be drawn before the game ends.",3
Let R be the ring of all functions from the real numbers to the real numbers. Prove that the set of all bounded functions forms a proper ideal in R.,7
A factory produces light bulbs with a 5% defect rate. Light bulbs are packaged in boxes of 12. What is the expected number of boxes that need to be opened to find the first box containing exactly one defective bulb? Round your answer to two decimal places.,3
The waiting time W between earthquakes in a seismically active region is believed to follow a Gamma distribution with shape parameter k and scale parameter θ. Derive the moment generating function for the random variable V = ln(W).,3
"An ""alternating permutation"" of length n is a permutation a1, a2, ..., an of the integers 1 to n such that a1 < a2 > a3 < a4 > a5 < ..., alternating between < and >. Let A(n) be the number of alternating permutations of length n. Calculate A(10) mod 1000000007.",5
"In a deck of 52 cards, let f(n) be the number of cards with a face value less than or equal to n (where Jack=11, Queen=12, King=13, Ace=1). A card is drawn at random. Calculate the probability that f(card value) is a perfect square.",3
"A computer network consists of nodes connected in a binary tree structure. If the network has a depth of 6 levels (including the root node), what percentage of the total nodes are leaf nodes?",5
"A conical pile of sand is being formed as sand falls from a conveyor belt. The height of the pile is always three-fourths of its base radius. If the volume of the pile increases at a constant rate of 10 cubic meters per minute, how fast is the height of the pile changing when the radius is 4 meters?",2
"For the function h(u,v) = u^2 * ln(u^2 + v^2) when (u,v) ≠ (0,0), and h(0,0) = 0, examine the existence of directional derivatives at the origin along all possible directions.",2
"A computer network has 10 nodes. Each pair of nodes can be directly connected or not. How many different network configurations are possible if the network must be fully connected (i.e., there's a path between any two nodes, though not necessarily direct)?",5
A spherical hot air balloon is expanding as it's heated. The radius r (in meters) of the balloon t seconds after heating begins is given by r = √(5t + 4). At what rate is the surface area of the balloon increasing when t = 16 seconds?,2
"Determine the solution set for the system of equations: 3x + 2y = 12 and 6x - 3y = -3. Which of the following is correct? (A) x = 2, y = 3 (B) x = 3, y = 1.5 (C) No solution exists (D) Infinitely many solutions (E) x = 4, y = 0",6
"A genetics experiment tracks the inheritance of a specific trait through generations of fruit flies. In each generation, flies with the trait are paired, and their offspring either have the trait or don't with equal probability. If the experiment starts with 64 flies possessing the trait, what is the probability that after 3 generations, there will be more than 100 flies with the trait? Round your answer to the nearest hundredth.",5
"A company's profit P is related to its investments x, y, and z by the equations: P = √(x² - 4) + √(y² - 9), x = √(y² - 16) + √(z² - 25), and y = √(z² - 36) + √(P² - 49). If z = 10, calculate the value of P to the nearest hundredth.",0
"For the linear system: ax + by = 5 cx + dy = 7 If a = 2, b = 3, c = 1, and d = -1, what is the value of x? (A) 1 (B) 2 (C) 3 (D) 4 (E) The system is inconsistent",6
"Let A be a 3x3 matrix with eigenvalues λ₁ = 2, λ₂ = -1, and λ₃ = 5. If v̄₁, v̄₂, and v̄₃ are the corresponding eigenvectors, and x̄ = 3v̄₁ + 2v̄₂ - v̄₃, compute A²x̄ in terms of v̄₁, v̄₂, and v̄₃.",6
A fair six-sided die is rolled repeatedly until the sum of all rolls exceeds 20. What is the expected number of rolls needed?,3
"A combination lock has 4 dials, each numbered from 0 to 9. How many possible combinations will open the lock if the product of the four digits must be divisible by 48?",4
"A city council election uses a ranked-choice voting system. If there are 7 candidates and each voter ranks all candidates, how many different ways can a single ballot be filled out?",5
"Consider the ring of continuous functions from the unit interval [0,1] to the real numbers. Determine whether this ring has any non-trivial ideals, and if so, characterize them.",7
"At a carnival, there's a game where players roll three fair six-sided dice. To win, the sum of the dice must be at least 15. What's the probability of winning this game, expressed as a percentage?",5
For how many positive integers x less than 1000 is the fraction $\frac{x}{1000}$ in its lowest terms when expressed as a decimal?,4
Show that the quotient ring Z[x]/(x^2+3) is isomorphic to the complex numbers C.,7
"A standard deck of 52 cards contains 13 hearts. If you draw 5 cards without replacement, what is the probability that exactly 2 of them are hearts? Give your answer as a percentage rounded to two decimal places.",3
"In an isosceles triangle ABC with AB = AC, the angle at vertex A is 40°. If the length of BC is 10 cm, determine the area of the triangle in square centimeters.",1
The lifetime of a certain electronic component follows an exponential distribution with a mean of 5000 hours. Determine the cumulative distribution function for the lifetime of this component.,3
"Consider the ring of continuous functions f : S^1 → R, where S^1 is the unit circle. Show that every maximal ideal in this ring is of the form M_p = {f : f(p) = 0} for some p in S^1.",7
"Prove that the fundamental group of the torus T^2 is isomorphic to Z × Z, where Z is the group of integers under addition.",7
A continuous random variable T follows an exponential distribution with parameter λ. Find the probability density function of Y = 1/T.,3
"A board game uses a special 12-sided die with the numbers 1 through 12. On each turn, a player rolls the die twice and adds the results. What is the probability that the sum will be exactly 13?",3
"Let G be a group with a normal subgroup N. Prove that if G/N is cyclic, then G is abelian if and only if G/N is isomorphic to G/(G' ∩ N), where G' is the commutator subgroup of G.",7
"In a social network analysis, a connection matrix $C$ is created where $c_{ij} = \frac{1}{\log(d_{ij})}$, and $d_{ij}$ is the minimum number of steps between users $i$ and $j$. If $C$ is a $6 \times 6$ matrix, find its eigenvalues.",6
"In a survey, respondents rate their satisfaction on a scale from 0 to 10. Let g(x) be the greatest perfect square not exceeding x. If a response is considered 'positive' when g(x) is odd, what's the probability of a randomly selected response being 'positive'?",3
"A number N is such that when divided by 8, 12, and 18, it leaves remainders of 5, 9, and 13 respectively. What is the smallest possible value of N?",4
"In a card game, players draw cards from a standard 52-card deck without replacement. Let f(n) be the number of cards drawn when the nth heart appears. The probability that f(3) - f(2) > 5 is _____.",3
Evaluate the improper integral of (1 / (x^2 + 4x + 5)) from 0 to infinity.,2
"For a positive integer $k$, let $B$ be a $2k \times 2k$ matrix with entries $B_{ij} = \tanh(\frac{i}{j} + \frac{j}{i})$. Calculate the trace of $B^{-1}$ if it exists, or explain why it doesn't.",6
